OID_,STATE_NAME,STATE_FIPS,SUB_REGION,STATE_ABBR,POINT_X,POINT_Y
1,Alabama,1,East South Central,AL,-85.07006712,31.9807031
2,Alabama,1,East South Central,AL,-85.11515021,31.90742478
3,Alabama,1,East South Central,AL,-85.13556691,31.8548844
4,Alabama,1,East South Central,AL,-85.13156111,31.7838146
5,Alabama,1,East South Central,AL,-85.13016489,31.77885369
6,Alabama,1,East South Central,AL,-85.11528692,31.73156597
7,Alabama,1,East South Central,AL,-85.11867439,31.70857161
8,Alabama,1,East South Central,AL,-85.11120492,31.6842421
9,Alabama,1,East South Central,AL,-85.05928531,31.62126518
10,Alabama,1,East South Central,AL,-85.04272138,31.55438979
11,Alabama,1,East South Central,AL,-85.04269848,31.51965989
12,Alabama,1,East South Central,AL,-85.066312,31.47608959
13,Alabama,1,East South Central,AL,-85.06140632,31.4406634
14,Alabama,1,East South Central,AL,-85.087942,31.36723423
15,Alabama,1,East South Central,AL,-85.08256319,31.33233452
16,Alabama,1,East South Central,AL,-85.0812281,31.30308031
17,Alabama,1,East South Central,AL,-85.10336132,31.27143618
18,Alabama,1,East South Central,AL,-85.09360331,31.22707451
19,Alabama,1,East South Central,AL,-85.10295709,31.19692207
20,Alabama,1,East South Central,AL,-85.09336692,31.17221129
21,Alabama,1,East South Central,AL,-85.06866251,31.16236412
22,Alabama,1,East South Central,AL,-85.03806818,31.1267132
23,Alabama,1,East South Central,AL,-85.0169957,31.08010283
24,Alabama,1,East South Central,AL,-85.00160721,31.0012534
25,Alabama,1,East South Central,AL,-85.48501018,31.00100179
26,Alabama,1,East South Central,AL,-85.48659709,31.00099801
27,Alabama,1,East South Central,AL,-86.03182181,30.99332759
28,Alabama,1,East South Central,AL,-86.18147622,30.99522512
29,Alabama,1,East South Central,AL,-86.38391972,30.99153828
30,Alabama,1,East South Central,AL,-86.70185251,30.99809242
31,Alabama,1,East South Central,AL,-86.77936171,30.99819178
32,Alabama,1,East South Central,AL,-87.16311759,31.0031572
33,Alabama,1,East South Central,AL,-87.59858017,31.00263082
34,Alabama,1,East South Central,AL,-87.5898672,30.954361
35,Alabama,1,East South Central,AL,-87.62571161,30.876902
36,Alabama,1,East South Central,AL,-87.6159152,30.84829638
37,Alabama,1,East South Central,AL,-87.54190018,30.78569529
38,Alabama,1,East South Central,AL,-87.52660292,30.7484917
39,Alabama,1,East South Central,AL,-87.46014051,30.70580258
40,Alabama,1,East South Central,AL,-87.41889429,30.69281018
41,Alabama,1,East South Central,AL,-87.39864492,30.66801542
42,Alabama,1,East South Central,AL,-87.39328092,30.62009829
43,Alabama,1,East South Central,AL,-87.42206739,30.5564936
44,Alabama,1,East South Central,AL,-87.44535299,30.53138973
45,Alabama,1,East South Central,AL,-87.41881669,30.48170079
46,Alabama,1,East South Central,AL,-87.40525081,30.44036008
47,Alabama,1,East South Central,AL,-87.4664404,30.3597214
48,Alabama,1,East South Central,AL,-87.5875684,30.31925431
49,Alabama,1,East South Central,AL,-87.5934048,30.27841542
50,Alabama,1,East South Central,AL,-87.79533062,30.2339316
51,Alabama,1,East South Central,AL,-88.00256051,30.23360431
52,Alabama,1,East South Central,AL,-87.77994171,30.27263829
53,Alabama,1,East South Central,AL,-87.757503,30.29942232
54,Alabama,1,East South Central,AL,-87.9034658,30.42129609
55,Alabama,1,East South Central,AL,-87.91338519,30.62118441
56,Alabama,1,East South Central,AL,-88.01978882,30.74419
57,Alabama,1,East South Central,AL,-88.13568119,30.33715851
58,Alabama,1,East South Central,AL,-88.32032669,30.40429359
59,Alabama,1,East South Central,AL,-88.40141519,30.39355182
60,Alabama,1,East South Central,AL,-88.41724262,30.7364571
61,Alabama,1,East South Central,AL,-88.42919899,31.00069511
62,Alabama,1,East South Central,AL,-88.4345631,31.12087949
63,Alabama,1,East South Central,AL,-88.45080309,31.43561768
64,Alabama,1,East South Central,AL,-88.46509681,31.70224499
65,Alabama,1,East South Central,AL,-88.47295191,31.88887681
66,Alabama,1,East South Central,AL,-88.43772428,32.22775558
67,Alabama,1,East South Central,AL,-88.425792,32.30922432
68,Alabama,1,East South Central,AL,-88.39383248,32.58047022
69,Alabama,1,East South Central,AL,-88.34804149,32.92475821
